%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
2.0, -43.85780678037554, -106.42633303906769, -98.38928803429008, -131.70805673953146, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996764174E9, 0.0, 2024-01-25 13:09:56.764
2.0, -15.182123870123178, -77.69829152943566, -246.855836475268, -176.0071717146784, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996764174E9, 0.0, 2024-01-25 13:09:56.764
3.0, 178.89998433040455, 139.91526719229296, -383.77918370300904, -336.1104188677855, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996767888E9, 0.0, 2024-01-25 13:09:56.767
3.0, 307.9115732018836, 275.9952669800259, -196.0399458273314, -257.0676333042793, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996767888E9, 0.0, 2024-01-25 13:09:56.767
4.0, 505.241784513928, 440.2385833840817, -144.48355498816818, -107.73903792351484, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996773504E9, 0.0, 2024-01-25 13:09:56.773
4.0, 445.0911035765894, 425.8418385046534, -160.36504015000537, -114.5176065932028, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996773504E9, 0.0, 2024-01-25 13:09:56.773
5.0, 207.93095773644745, 240.3371908525005, -268.1358672231436, -292.86408573016524, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996778278E9, 0.0, 2024-01-25 13:09:56.778
5.0, 0.923755289055407, 436.79600547486916, -105.26883400278166, -97.27666779747233, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996778278E9, 0.0, 2024-01-25 13:09:56.778
6.0, -126.78260849788785, 297.9297802201472, 139.1354980515316, -236.15037285210565, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996785137E9, 0.0, 2024-01-25 13:09:56.785
6.0, 24.230811812914908, 505.9953743549995, 5.282608687411994, -1.1163601367734373, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996785137E9, 0.0, 2024-01-25 13:09:56.785
7.0, -60.23482868634164, 424.6749897184782, -64.54506338527426, -109.64451695093885, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996794131E9, 0.0, 2024-01-25 13:09:56.794
7.0, -15.286841068882495, 368.91682127909735, -277.7343204594217, -188.42550951754674, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996794131E9, 0.0, 2024-01-25 13:09:56.794
8.0, 159.34778736205772, 144.61819138657302, -371.18881050217897, -340.48423186596483, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70621699682516E9, 0.0, 2024-01-25 13:09:56.825
8.0, 310.3537278729491, 294.3899649120867, -218.09600581601262, -221.2861404782161, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70621699682516E9, 0.0, 2024-01-25 13:09:56.825
9.0, 513.3985063172877, 461.47560528246686, -156.6101805944927, -76.22103104693815, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996831498E9, 0.0, 2024-01-25 13:09:56.831
9.0, 487.74840247118846, 425.73899125587195, -177.0805230019614, -88.70294714905322, -0.06400000303983688, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996831498E9, 0.0, 2024-01-25 13:09:56.831
10.0, 688.1172824972309, 200.72604047181085, -271.97861442761496, -305.36844123201445, -0.06400000303983688, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70621699683776E9, 0.0, 2024-01-25 13:09:56.837
10.0, 502.588325495366, 429.93141910620034, -89.80995753593743, -74.16969592124224, -0.06400000303983688, 0.0, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.70621699683776E9, 0.0, 2024-01-25 13:09:56.837
11.0, 358.5535585018806, 293.12587872706354, 114.88037688890472, -273.00147706549615, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996853496E9, 0.0, 2024-01-25 13:09:56.853
11.0, 466.5768288220279, 472.8916498972103, -40.802308516576886, -509.6716960114427, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996853496E9, 0.0, 2024-01-25 13:09:56.853
12.0, 446.1868942636065, 418.2030928451568, -114.201585046947, -602.9934196057729, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996859174E9, 0.0, 2024-01-25 13:09:56.859
12.0, 475.8611304620281, 400.54328525438905, -257.69780644681305, -674.8443775544874, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996859174E9, 0.0, 2024-01-25 13:09:56.859
13.0, 645.9218612471595, 163.8394072088413, -386.1614999747835, -859.1634769206867, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996862898E9, 0.0, 2024-01-25 13:09:56.862
13.0, 793.7975054951385, 307.32814880879596, -220.25205814046785, -708.7447007028386, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996862898E9, 0.0, 2024-01-25 13:09:56.862
14.0, 989.8486710223369, 426.32989544887096, -168.23939950671047, -603.7862783963792, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996868186E9, 0.0, 2024-01-25 13:09:56.868
14.0, 878.4763202918693, 392.8409612956457, -223.46837210236117, -610.374112168327, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996868186E9, 0.0, 2024-01-25 13:09:56.868
15.0, 666.1603298573755, 196.98801046609879, -310.2658402239904, -793.5936809475534, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996873258E9, 0.0, 2024-01-25 13:09:56.873
15.0, 496.75782146444544, 428.08577847806737, -79.89735270338133, -572.3168902192265, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996873258E9, 0.0, 2024-01-25 13:09:56.873
16.0, 355.7822926347144, 279.65662903664634, 122.20123105216771, -770.9616763656959, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996882149E9, 0.0, 2024-01-25 13:09:56.882
16.0, 470.4289257763885, 454.69142676284537, -52.682100725825876, -1004.778351645451, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996882149E9, 0.0, 2024-01-25 13:09:56.882
17.0, 471.28349291626364, 396.8688335479237, -74.51189676718786, -1076.0159660014324, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996897811E9, 0.0, 2024-01-25 13:09:56.897
17.0, 452.9280639337376, 411.76672502141446, -257.05267370445654, -1177.2288785022683, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996897811E9, 0.0, 2024-01-25 13:09:56.897
18.0, 617.0460936892778, 617.3153664860874, -434.7184910494834, -1357.924014811404, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996904138E9, 0.0, 2024-01-25 13:09:56.904
18.0, 819.3896408919245, 798.2928652418777, -207.66542483959347, -1213.0103713283315, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996904138E9, 0.0, 2024-01-25 13:09:56.904
19.0, 1012.1496944581158, 950.4151658895425, -132.521484979894, -1088.9522799481638, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996928516E9, 0.0, 2024-01-25 13:09:56.928
19.0, 927.5587673103437, 880.4435076685622, -185.45041910279542, -1104.2839998165146, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996928516E9, 0.0, 2024-01-25 13:09:56.928
20.0, 686.524085116107, 686.6699412143789, -309.4150129840709, -1319.7751653133892, -0.06400000303983688, -0.0800000037997961, 1.0240000486373901, 0.0, 0.0, 0.0, 0.0, 0.0, 1.706216996937273E9, 0.0, 2024-01-25 13:09:56.937
